text,label,label_id
我唯一不想喝的，只有喝到假酒大醉第二天头疼的不行，那个时候会闻到酒都想吐，如果不是大醉，那每天二公两白的简直神仙日子,Negative,0
我也是啥都喝 喝了大半年胖了几十斤,Neutral,1
互助会欧美国家才有！你去哪去美国？,Neutral,1
你这戒的时候，没出现幻觉吗？,Neutral,1
酒精肝，已经出问题了。,Neutral,1
哈哈哈哈哈哈哈哈,Neutral,1
酒是拿粮食酿的，喝多了肯定长胖,Neutral,1
广东阳江互助会，我在广海上学，正准备办个社团,Neutral,1
不好喝吗？,Positive,2
因为喝超过6瓶的时候都断片了，只记得每次喝6瓶[捂脸],Negative,0
19岁就这么喝？,Neutral,1
不喝,Neutral,1
哦，我也现在在出现记忆混乱这种情况,Neutral,1
能戒就戒了吧，我一年365天一天都不少,Neutral,1
准备戒了，给自己喝出焦虑症躯体化了,Negative,0
我一个不喝酒的当然不懂酒，但甜是真的，第一次喝茅台入口甜的我都以为是假酒[捂脸][捂脸],Negative,0
我是卖酒的[看],Positive,2
[不失礼貌的微笑]+1我十九二十喝的，一开始就是三四瓶现在变成了精酿高度啤酒，最近想着戒掉至少不是每天都喝,Positive,2
认识一块喝酒吗[看],Positive,2
你给犯瘾的机会了吗？,Neutral,1
这是好事啊 酒肉朋友关键时候没一个能指的上的,Positive,2
别喝小甜水了 升糖太高,Neutral,1
？,Neutral,1
我最多也差不多两斤 就自己一个人在那慢慢喝,Neutral,1
这是戒断反应，熬过最初的一个星期左右就好了,Neutral,1
抽了三年烟，现在戒了147天了[看],Positive,2
是的 影响发育,Neutral,1
[看]咱俩一模一样，不过我戒掉了[比心]我同时还戒掉了烟，,Positive,2
喝白酒要闭气吗？清香的甘甜，浓香的舒爽，酱香的醇厚，不都是需要喝下去以后呼吸时慢慢品吗？,Neutral,1
那说明平时很好的人也不一定那么好,Positive,2
以前天天喝，不是那种细品，是跟朋友聚会，各个喝酒场合去玩耍，经常喝多喝吐，但是一直没上瘾，现在已经两个月没碰过酒了[捂脸],Negative,0
不喝就行了,Neutral,1
对不起我反思我反思,Neutral,1
目前戒烟79天[黄脸干杯]上一次是最长的一年[戳手手]戒烟的难点在于复吸...,Neutral,1
ip正确,Neutral,1
我天天喝也没有见到酒瘾，我真不信[捂脸],Negative,0
@黎桑曲 我要被他俩笑死了,Neutral,1
你第一次喝可乐觉得有那么好喝吗[泪奔],Positive,2
早醉早醒,Neutral,1
看完吓得我抽了根烟缓一下[噢买尬],Neutral,1
朋友们，我们可以认识嘛，我现在也是,Neutral,1
都说每次了，你不难受吗一直喝醉[黑脸],Negative,0
哪有什么酒瘾呀，我天天喝我也没发现我有酒瘾呀,Neutral,1
爱喝酒的人是因为酒里面的酒精，没有任何一个人是因为酒的味道和气味而喜欢喝酒的[笑哭],Positive,2
这个确实猛，我一天最多大半瓶，不然第二天起来浑身难受,Neutral,1
那你是不懂酒，酒是很香很甜的,Neutral,1
事实改编的，哥们[看],Positive,2
我喝着还是苦[抱抱你]要喝两杯才开始好喝呢,Positive,2
我昨晚两瓶红盖汾酒喝到3点，然后早上9点起床上班，我现在觉得精神状态良好，甚至有点兴奋,Positive,2
我跟你一样，但我现在脑供血不足，不能喝，我感觉我很抑郁,Neutral,1
偶尔现在偶尔喝，但是说实在的真的不喜欢。,Positive,2
哈哈 记错人的事没说,Neutral,1
你们喝吧，我戒酒了，我真是酒精依赖 我脑子已经不好使了，我甚至已经出现记忆错乱了，前几天跟朋友聊天 我说你记得咱们那次在海边喝酒不，她说她知道 但是她没去，我清楚的记得 我朋友新买的商务车 我坐在前面去接她，她还说了这新车确实不错，可是她真的没去，我翻了照片 没有她。,Positive,2
我也是 电脑前喝 有时候边打游戏边喝,Neutral,1
"我和你相反，一喝酒就能睡得着，平时压力太大了，喝酒能让我缓解压力。
过年时喝出酒精肝，我大概是没救了",Neutral,1
你是完全不懂幽默吗,Neutral,1
还好我喝酒反而睡不着觉，要不然我可能会酒精依赖,Neutral,1
[捂脸]一直追求微醺，但感觉越来越难微醺了，可恶啊,Negative,0
21岁我开始喝的，慢慢的一晚上3瓶，10年后，到一晚上10瓶12瓶，不喝醉不罢休，后面感觉不舒服就慢慢的一周喝三次，戒过两个月没什么感觉，就是失眠，有时还是想喝点的，两个月后又喝上啤酒了。我喝啤酒多，白的基本不碰,Negative,0
第一次喝啤的就感觉挺好喝，没那么难喝啊😲，要不是觉得喝多了对身体不好当饮料喝了,Neutral,1
[流泪][流泪][流泪]我俩差不多,Negative,0
刚出生我爸就在奶嘴里罐啤酒了[捂脸],Negative,0
对啊，所以他只是感觉，不会上瘾,Negative,0
我现在要么囤点喜欢的啤酒洋酒独酌，要么和非常知根知底且无任何经济、工作来往的发小放开喝酒。同事绝对不喝，陪领导积极倒水倒酒，把量控制好。酒多必言，言多必失，并且第二天难受的一批，绝对不划算,Positive,2
哈哈哈，那你确实没瘾，这么多年都没练出来[捂脸],Negative,0
嗯，小喝怡情，大喝伤身,Neutral,1
酒精味不重，清爽的类型[黑脸],Negative,0
那不行,Neutral,1
对，而且喝也要喝半天 麻烦得很,Neutral,1
基本不空天[耶],Neutral,1
失身过吗,Neutral,1
我朋友全是喝酒的，现在我戒酒了他们都不搭理我了[泪奔],Neutral,1
[赞],Positive,2
他大学毕业前才经历四次完全断片吗[捂脸][捂脸],Negative,0
有机会一起喝,Neutral,1
前段时间喝了个洋酒喝太多了，然后我直接分不清梦可现实了,Neutral,1
你喜欢喝什么类型的酒？我给你推荐一下看看能不能让你有喜欢的味道,Positive,2
白酒啊兄弟？[噢买尬],Neutral,1
澳洲不犯法吗[发呆],Neutral,1
没上瘾还天天啊[无语流汗],Negative,0
自己事忙不过来真的不需要朋友[捂脸]我之前天天有局，喝过来喝过去，除了伤身体啥意思没有[捂脸],Negative,0
我老公就是酒精成瘾者根本改不了了！，这辈子就这样了,Neutral,1
那还是年轻了，你这个叫借酒浇愁，爱喝和爱醉是两个概念，当然我不否认爱喝是从爱醉发展过来的，酒，茶，烟，不都是慢慢才能发展成以品鉴为主的爱好吗？,Positive,2
和朋友喝茶 我朋友都喝茶 现在没有喝酒的了[捂脸],Negative,0
我有几年每天500ml左右威士忌，一天不断,Neutral,1
每天喝会没有？是什么驱使你喝呢？,Neutral,1
喝到位了[赞],Positive,2
平时生活没啥压力 过得很舒服吧[赞][赞][赞],Positive,2
那种酒精的放松感 真的上瘾,Negative,0
分享一下我的经历，可能可以帮助到一些人，挺有意思的，我21岁开喝，后来喝白的，只喝原味伏特加，因为杂质少对身体伤害小一些，5年差不多每晚上都有3两白酒下肚 后来想戒酒，因为身体确实有些顶不住了，试了几次，但是习惯告诉我每晚上没有酒精睡不着，也试过一些方法，最后是看加缪书籍让我戒掉它的，也不算是完全戒，就偶尔朋友聚会会喝，但是比起之前每天频率，下降了很多，感觉很多时候我们不是对酒精上瘾，而是缺乏生活中的意义感。如果你也在饮酒，不要为此过多自责，但是也不要放弃寻找戒酒的方法。对了还有就是我现在换成了喝洋甘菊花茶，对身体也好，也有一定的镇静效果。,Positive,2
你也说了，只是你感觉，你又没上瘾，你怎么知道不能成瘾的？？,Negative,0
[捂脸]看到评论这句话有点想笑没有酒瘾干嘛天天喝就和视频里面找到借口一样,Negative,0
其实这东西不想烟一样有瘾 感觉是有酒瘾的人是因为喜欢喝完酒的那种感觉,Positive,2
@过期的洋芋饭. 科学家,Neutral,1
我也是和你一模一样，给我看看你的手指,Neutral,1
先喝鸡尾酒。慢慢喝度数高的鸡尾酒。和果汁一样，又可以体验微醺，,Neutral,1
[宕机]我小学的时候别人说家里人不让喝酒我都懵了，我记事起一家四口都喝酒,Neutral,1
试试白的,Neutral,1
喝吧，谁能活过你啊[捂脸],Negative,0
这个月9天，我喝了11瓶洋酒[流泪]戒不掉,Negative,0
酒吧叫互助会的不多，发定位[看],Positive,2
我都不知道你们为什么会喝酒成瘾的？我每天晚上下班回来只喝6瓶啤酒，一直这样喝了10几年了，也没见有瘾啊,Neutral,1
猛，我以为我两天一瓶已经算多了,Neutral,1
这家伙是喝到位了,Neutral,1
大佬[赞][赞][赞],Positive,2
确实没什么压力,Neutral,1
你每天都喝不就证明已经有瘾了么？,Neutral,1
这鱼烧的时候放了豆酱吗？  口重不重,Neutral,1
你这真是酒精依赖了,Negative,0
我們終要面對一直逃避的事物，否则生活会逼着我们面对，你已经很优秀了[呲牙],Positive,2
我天天喝也没见上瘾,Negative,0
@tongyu [看],Positive,2
记错人了，这里发帖子企图圆回来[看],Positive,2
喝醉是真的舒服,Neutral,1
不得不喝是吧[看],Positive,2
巅峰时期 一个月 喝20天左右,Neutral,1
当我喝下第1口酒的时候，我就知道我不会再喝第2口。[捂脸]去酒吧喝酒完全是因为酒是饮料的味道。,Negative,0
哈哈哈 哈   对,Neutral,1
这个比例我不好说，但是爱喝酒的人里面，应该都大差不差，你这个喜欢喝啤酒还不算爱喝酒，我一般喝完白的口渴时候才喝水啤，其他ipa什么的是用来解暑和解腻的,Positive,2
以前天天喝，确实有点隔几天不喝想放松一下的感觉，但我感觉酒这个东西到不了瘾的程度,Neutral,1
天天喝也没见有瘾啊,Neutral,1
